complaint_number,name,phone,aadhaar,address,complaint_text,complaint_type,assignee,sla_date,sla_days,support_level_1,support_level_2,status,submission_time,mandal,village
AP-2025-616934,Anitha Naidu,9642680897.0,XXXX-XXXX-0897,"D.No. 127/4, Gandhi St, Anandapuram, Kolluru Mandal","Overcrowding & Bus Fleet Shortage in Kolluru
To:
The Regional Manager,
APSRTC, Kolluru Region.
Subject: Request for Increasing Bus Fleet to Support Free Bus Scheme
Respected Sir/Madam,
While the Free Bus Scheme is a welcome initiative, we have observed severe overcrowding on key city routes such as Kolluru Main Road. This is primarily due to the fact that the number of buses in service has not been increased in proportion to the rising demand.
The present situation is leading to inconvenience...",APSRTC bus services,Assistant Supply Officer,2025-08-20,7,,,Reopened,2025-08-08 10:24:41,Kolluru,Anandapuram
AP-2025-591121,Praveen Patel,9980321703.0,XXXX-XXXX-1703,"D.No. 26/16, Temple St, Velpuru, Gudivada Mandal","Overcrowding & Bus Fleet Shortage in Gudivada
To:
The Regional Manager,
APSRTC, Gudivada Region.
Subject: Request for Increasing Bus Fleet to Support Free Bus Scheme
Respected Sir/Madam,
While the Free Bus Scheme is a welcome initiative, we have observed severe overcrowding on key city routes such as Gudivada - Velpuru. This is primarily due to the fact that the number of buses in service has not been increased in proportion to the rising demand.
The present situation is leading to inconvenie...",APSRTC bus services,Junior Engineer (RWSS),2025-08-20,7,,,Payment Initiated,2025-07-20 10:24:41,Gudivada,Velpuru
AP-2025-754735,Haritha Chowdary,9868461576.0,XXXX-XXXX-1576,"D.No. 166/12, Main Road, Chintalapudi, Penamaluru Mandal","Overcrowding & Bus Fleet Shortage in Penamaluru
To:
The Regional Manager,
APSRTC, Penamaluru Region.
Subject: Request for Increasing Bus Fleet to Support Free Bus Scheme
Respected Sir/Madam,
While the Free Bus Scheme is a welcome initiative, we have observed severe overcrowding on key city routes such as Penamaluru Main Road. This is primarily due to the fact that the number of buses in service has not been increased in proportion to the rising demand.
The present situation is leading to inco...",APSRTC bus services,AE (DISCOM Operations),2025-08-20,7,,,Payment Initiated,2025-07-23 10:24:41,Penamaluru,Chintalapudi
AP-2025-343210,Sudha Reddy,9694481426.0,XXXX-XXXX-1426,"D.No. 86/8, Ambedkar Nagar, Vuyyuru, Cheepurupalle Mandal","Farmer Compensation under GO-43
To:
The District Collector,
Vizianagaram District, Andhra Pradesh.
Subject: Urgent Request for Implementation of GO-43 Relief for Farmers
Respected Sir/Madam,
I am a farmer from Vuyyuru whose livelihood has been severely impacted by crop failure due to pest. As per Government Order GO-43, eligible farmers are to receive timely compensation.
Despite submitting the required documents at the Mandal Office on 21/07/2025, I have not yet received any relief amount. S...",Crop damage assessment request,Agriculture Extension Officer (AEO),2025-08-28,15,,,Payment Initiated,2025-08-12 10:24:41,Cheepurupalle,Vuyyuru
AP-2025-830871,Swapna Patel,9639772159.0,XXXX-XXXX-2159,"D.No. 38/5, Market Road, Tanuku, Tadepalligudem Mandal","Overcrowding & Bus Fleet Shortage in Tadepalligudem
To:
The Regional Manager,
APSRTC, Tadepalligudem Region.
Subject: Request for Increasing Bus Fleet to Support Free Bus Scheme
Respected Sir/Madam,
While the Free Bus Scheme is a welcome initiative, we have observed severe overcrowding on key city routes such as Tanuku - Tadepalligudem Center. This is primarily due to the fact that the number of buses in service has not been increased in proportion to the rising demand.
The present situation ...",APSRTC bus services,Assistant Engineer (RWSS),2025-08-20,7,,,Closed,2025-07-23 10:24:41,Tadepalligudem,Tanuku
AP-2025-549120,Prasad Sarma,9811694481.0,XXXX-XXXX-4481,"D.No. 45/9, Main Road, Rajanagaram, Kakinada Rural Mandal","Farmer Compensation under GO-43
To:
The District Collector,
East Godavari District, Andhra Pradesh.
Subject: Urgent Request for Implementation of GO-43 Relief for Farmers
Respected Sir/Madam,
I am a farmer from Rajanagaram whose livelihood has been severely impacted by crop failure due to drought. As per Government Order GO-43, eligible farmers are to receive timely compensation.
Despite submitting the required documents at the Mandal Office on 09/08/2025, I have not yet received any relief a...",Crop damage assessment request,MPDO / Programme Officer (MGNREGS),2025-08-28,15,,,Inspection Scheduled,2025-08-11 10:24:41,Kakinada Rural,Rajanagaram
AP-2025-348759,Haritha Prasad,9658533712.0,XXXX-XXXX-3712,"D.No. 129/8, Main Road, Penumantra, Srikalahasti Mandal","Farmer Compensation under GO-43
To:
The District Collector,
Chittoor District, Andhra Pradesh.
Subject: Urgent Request for Implementation of GO-43 Relief for Farmers
Respected Sir/Madam,
I am a farmer from Penumantra whose livelihood has been severely impacted by crop failure due to pest. As per Government Order GO-43, eligible farmers are to receive timely compensation.
Despite submitting the required documents at the Mandal Office on 18/07/2025, I have not yet received any relief amount. Se...",Crop damage assessment request,MPDO / Programme Officer (MGNREGS),2025-08-28,15,,,Assigned,2025-07-24 10:24:41,Srikalahasti,Penumantra
AP-2025-552859,Jyothi Chowdary,9986493508.0,XXXX-XXXX-3508,"D.No. 114/3, Gandhi St, Vemagiri, Pulivendula Mandal","AP Police Seva App Downtime
To:
The Superintendent of Police,
Kadapa, Andhra Pradesh.
Subject: Inconvenience Due to Non-Functioning of AP Police Seva App
Respected Sir/Madam,
The AP Police Seva mobile application, which is widely used for online complaint registration, traffic challan payments, and safety alerts, has been inaccessible since 01/08/2025. This is causing significant inconvenience to citizens, as we are unable to file complaints or check case updates digitally.
I request your goo...",Police/cyber services,AE (DISCOM Operations),2025-08-18,5,,,Registered,2025-07-23 10:24:41,Pulivendula,Vemagiri
AP-2025-361754,Ramesh Nair,9858717322.0,XXXX-XXXX-7322,"D.No. 130/20, Temple St, Kollipara, Kothapeta Mandal","AP Police Seva App Downtime
To:
The Superintendent of Police,
Srikakulam, Andhra Pradesh.
Subject: Inconvenience Due to Non-Functioning of AP Police Seva App
Respected Sir/Madam,
The AP Police Seva mobile application, which is widely used for online complaint registration, traffic challan payments, and safety alerts, has been inaccessible since 06/08/2025. This is causing significant inconvenience to citizens, as we are unable to file complaints or check case updates digitally.
I request your...",Police/cyber services,MEO (Mandal Education Officer),2025-08-18,5,,,Inspection Scheduled,2025-07-14 10:24:41,Kothapeta,Kollipara
AP-2025-471161,Jyothi Sharma,9952813327.0,XXXX-XXXX-3327,"D.No. 107/4, Station Road, Vemagiri, Kakinada Rural Mandal","Overcrowding & Bus Fleet Shortage in Kakinada Rural
To:
The Regional Manager,
APSRTC, Kakinada Rural Region.
Subject: Request for Increasing Bus Fleet to Support Free Bus Scheme
Respected Sir/Madam,
While the Free Bus Scheme is a welcome initiative, we have observed severe overcrowding on key city routes such as Vemagiri - Kakinada Rural Center. This is primarily due to the fact that the number of buses in service has not been increased in proportion to the rising demand.
The present situatio...",APSRTC bus services,Civil Supplies Inspector,2025-08-20,7,,,In Progress,2025-08-05 10:24:41,Kakinada Rural,Vemagiri
AP-2025-906529,Lakshmi Goud,9620010505.0,XXXX-XXXX-0505,"D.No. 111/4, Station Road, Rajanagaram, Bapatla Mandal","Farmer Compensation under GO-43
To:
The District Collector,
Guntur District, Andhra Pradesh.
Subject: Urgent Request for Implementation of GO-43 Relief for Farmers
Respected Sir/Madam,
I am a farmer from Rajanagaram whose livelihood has been severely impacted by crop failure due to pest. As per Government Order GO-43, eligible farmers are to receive timely compensation.
Despite submitting the required documents at the Mandal Office on 07/08/2025, I have not yet received any relief amount. Sev...",Crop damage assessment request,Assistant Director (Agri),2025-08-28,15,,,Work Order Issued,2025-08-05 10:24:41,Bapatla,Rajanagaram
AP-2025-242240,Jyothi Babu,9987423300.0,XXXX-XXXX-3300,"D.No. 14/10, Market Road, Gollapudi, Nuzvid Mandal","Farmer Compensation under GO-43
To:
The District Collector,
Srikakulam District, Andhra Pradesh.
Subject: Urgent Request for Implementation of GO-43 Relief for Farmers
Respected Sir/Madam,
I am a farmer from Gollapudi whose livelihood has been severely impacted by crop failure due to pest. As per Government Order GO-43, eligible farmers are to receive timely compensation.
Despite submitting the required documents at the Mandal Office on 02/08/2025, I have not yet received any relief amount. S...",Crop damage assessment request,Technical Assistant (MGNREGS),2025-08-28,15,,,Resolved,2025-07-15 10:24:41,Nuzvid,Gollapudi
AP-2025-115834,Kiran Babu,9822335716.0,XXXX-XXXX-5716,"D.No. 196/9, Ramalayam St, Kovvur, Amalapuram Mandal","AP Police Seva App Downtime
To:
The Superintendent of Police,
East Godavari, Andhra Pradesh.
Subject: Inconvenience Due to Non-Functioning of AP Police Seva App
Respected Sir/Madam,
The AP Police Seva mobile application, which is widely used for online complaint registration, traffic challan payments, and safety alerts, has been inaccessible since 30/07/2025. This is causing significant inconvenience to citizens, as we are unable to file complaints or check case updates digitally.
I request y...",Police/cyber services,MO (PHC),2025-08-18,5,,,Inspection Scheduled,2025-07-20 10:24:41,Amalapuram,Kovvur
AP-2025-996928,Venkatesh Dasari,9846488395.0,XXXX-XXXX-8395,"D.No. 90/1, Ambedkar Nagar, Devarapalli, Nuzvid Mandal","Farmer Compensation under GO-43
To:
The District Collector,
Srikakulam District, Andhra Pradesh.
Subject: Urgent Request for Implementation of GO-43 Relief for Farmers
Respected Sir/Madam,
I am a farmer from Devarapalli whose livelihood has been severely impacted by crop failure due to flood. As per Government Order GO-43, eligible farmers are to receive timely compensation.
Despite submitting the required documents at the Mandal Office on 29/07/2025, I have not yet received any relief amount...",Crop damage assessment request,Agriculture Extension Officer (AEO),2025-08-28,15,,,Closed,2025-07-19 10:24:41,Nuzvid,Devarapalli
AP-2025-336395,Lakshmi Prasad,9750393566.0,XXXX-XXXX-3566,"D.No. 108/15, Station Road, Rajanagaram, Machilipatnam Mandal","Farmer Compensation under GO-43
To:
The District Collector,
Krishna District, Andhra Pradesh.
Subject: Urgent Request for Implementation of GO-43 Relief for Farmers
Respected Sir/Madam,
I am a farmer from Rajanagaram whose livelihood has been severely impacted by crop failure due to flood. As per Government Order GO-43, eligible farmers are to receive timely compensation.
Despite submitting the required documents at the Mandal Office on 25/07/2025, I have not yet received any relief amount. S...",Crop damage assessment request,Assistant Project Officer,2025-08-28,15,,,Assigned,2025-07-28 10:24:41,Machilipatnam,Rajanagaram
AP-2025-112963,Anitha Yadav,9682366839.0,XXXX-XXXX-6839,"D.No. 21/9, School Road, Koduru, Kovur Mandal","Farmer Compensation under GO-43
To:
The District Collector,
Nellore District, Andhra Pradesh.
Subject: Urgent Request for Implementation of GO-43 Relief for Farmers
Respected Sir/Madam,
I am a farmer from Koduru whose livelihood has been severely impacted by crop failure due to drought. As per Government Order GO-43, eligible farmers are to receive timely compensation.
Despite submitting the required documents at the Mandal Office on 26/07/2025, I have not yet received any relief amount. Seve...",Crop damage assessment request,Technical Assistant (MGNREGS),2025-08-28,15,,,Work Order Issued,2025-07-19 10:24:41,Kovur,Koduru
AP-2025-156846,Srikanth Chowdary,9856161625.0,XXXX-XXXX-1625,"D.No. 29/10, School Road, Penuganchiprolu, Guntakal Mandal","Farmer Compensation under GO-43
To:
The District Collector,
Anantapur District, Andhra Pradesh.
Subject: Urgent Request for Implementation of GO-43 Relief for Farmers
Respected Sir/Madam,
I am a farmer from Penuganchiprolu whose livelihood has been severely impacted by crop failure due to flood. As per Government Order GO-43, eligible farmers are to receive timely compensation.
Despite submitting the required documents at the Mandal Office on 18/07/2025, I have not yet received any relief amo...",Crop damage assessment request,Assistant Director (Agri),2025-08-28,15,,,In Progress,2025-08-12 10:24:41,Guntakal,Penuganchiprolu
AP-2025-103027,Bhavani Kumar,9892497042.0,223145457632,"D.No. 19/2, Ramalayam St, Peddapuram, Gudivada Mandal","Land Mutation Delay / False Closure of Grievance
To:
The Tahsildar,
Ichchapuram, Andhra Pradesh.
Subject: Request for Immediate Action on Pending Land Mutation and False Closure of Grievance
Respected Sir/Madam,
I am writing to bring to your attention that my grievance regarding the mutation of my agricultural land in Survey No. 215/17, located in Nidamanuru/Ichchapuram, was closed on the Public Grievance Redressal Portal as ""resolved"" on 24/07/2025. However, no action has been taken and the ...",Land mutation/name correction pending,Tahsildar/MRO,2025-08-28,15,Senior Assistant (Revenue),Village Revenue Officer (VRO),Registered,2025-08-13 10:30:27,Gudivada,Peddapuram
AP-2025-105903,Bhavani Rao,9773183277.0,223454678934,"D.No. 6/18, Main Road, Kuchipudi, Kolluru Mandal","Farmer Compensation under GO-43
To:
The District Collector,
Guntur District, Andhra Pradesh.
Subject: Urgent Request for Implementation of GO-43 Relief for Farmers
Respected Sir/Madam,
I am a farmer from Kuchipudi whose livelihood has been severely impacted by crop failure due to drought. As per Government Order GO-43, eligible farmers are to receive timely compensation.
Despite submitting the required documents at the Mandal Office on 14/07/2025, I have not yet received any relief amount.",Crop damage assessment request,Agriculture Extension Officer (AEO),2025-08-28,15,Assistant Director (Agri),,Registered,2025-08-13 10:59:03,Kolluru,Kuchipudi
AP-2025-111859,Rakesh Singh,9875432786.0,223467564332,"D.No. 34/19, School Road, Nidamanuru, Ichchapuram Mandal","Overcrowding & Bus Fleet Shortage in Dharmavaram
To:
The Regional Manager,
APSRTC, Dharmavaram Region.
Subject: Request for Increasing Bus Fleet to Support Free Bus Scheme
Respected Sir/Madam,
While the Free Bus Scheme is a welcome initiative, we have observed severe overcrowding on key city routes such as Dharmavaram Main Road. This is primarily due to the fact that the number of buses in service has not been increased in proportion to the rising demand.",Delay in issuing caste certificate,Tahsildar/MRO,2025-08-20,7,Senior Assistant (Revenue),Village Revenue Officer (VRO),Registered,2025-08-13 11:18:59,Ichchapuram,Nidamanuru
AP-2025-112104,Rakesh Singh,9875432786.0,223467564332,"D.No. 34/19, School Road, Nidamanuru, Ichchapuram Mandal","There is no power in my house, plese fix it",Frequent power outages/transformer failure,AE (DISCOM Operations),2025-08-14,1,ADE (DISCOM),Line Inspector,Registered,2025-08-13 11:21:04,Ichchapuram,Nidamanuru
AP-2025-112234,Rakesh Singh,9875432786.0,223467564332,"D.No. 34/19, School Road, Nidamanuru, Ichchapuram Mandal",Streetlight is not working in front of my office on Rudrapur road,Streetlights not working,Panchayat Secretary,2025-08-20,7,Assistant Engineer (PR),Municipal AE (Electrical),Registered,2025-08-13 11:22:34,Ichchapuram,Nidamanuru
AP-2025-533271,Rajamma,,,"Grama Panchayat, Errupalem, Khammam","In our village, drinking water supply has not been going well for the past few days. Water is coming only once in three or four days. Many houses are not getting enough water. Especially the elderly, children, and women are suffering a lot. Additionally, water pipes are leaking in some areas, which is wasting water. Regarding this, please take Panchayat action and ensure that water is supplied equally throughout the village.",Pipeline leak/irregular water supply,General Administrator,2025-10-14,7,,,Registered,2025-10-07 18:56:59,Khammam,Errupalem
AP-2025-910993,Tata Madlu,,,,"```json
{
  ""original_text"": ""Jo\nడైరెక్టర్ జనరల్ ఆఫ్ పోలిస్,\nతెలంగాణ ప్రభుత్వం,\nహైదరాబాద్:\n໖: 08/02/2023\nవిషయం: నిన్నటి పాదయాణ) లో శ్రీ రేవంత్ రెడ్డి, MD\nగారి వ్యాఖ్యంపై చట్టపరమైన చర్యలు తీసుకోవాల్సిందిగా\nకేరుతున్నాం -\n-\nమేము లెజిట్టేదన కాన్సిర్ సభ్యులుగా, ఈ క్రింది విషమాలు\nమ దృష్టికి తీసుక వస్తున్నాం. నిన్న జరిగిన పాద మాలతో\nశ్రీ రేవంత్ రెడ్డి, పార్లమెంటు సభ్యులు, రాష్ట్ర ప్రభుత్వం పై\nముఖ్యముంతి)పై వ్యాఖ్యలు చేస్తూ ముఖ్యముంది పాపంపాలనా\nకార్యాలయం మరియు నివాహన్ని గ్రనైడ్స్ పెట్టి పేల్",Delay in issuing caste certificate,Tahsildar/MRO,2025-10-14,7,Senior Assistant (Revenue),Village Revenue Officer (VRO),Registered,2025-10-07 19:19:02,Unknown,Unknown
AP-2025-547091,Tata Madlu,,,,"```json
{
  ""original_text"": ""Jo\nడైరెక్టర్ జనరల్ ఆఫ్ పోలిస్,\nతెలంగాణ ప్రభుత్వం,\nహైదరాబాద్:\n໖: 08/02/2023\nవిషయం: నిన్నటి పాదయాణ) లో శ్రీ రేవంత్ రెడ్డి, MD\nగారి వ్యాఖ్యంపై చట్టపరమైన చర్యలు తీసుకోవాల్సిందిగా\nకేరుతున్నాం -\n-\nమేము లెజిట్టేదన కాన్సిర్ సభ్యులుగా, ఈ క్రింది విషమాలు\nమ దృష్టికి తీసుక వస్తున్నాం. నిన్న జరిగిన పాద మాలతో\nశ్రీ రేవంత్ రెడ్డి, పార్లమెంటు సభ్యులు, రాష్ట్ర ప్రభుత్వం పై\nముఖ్యముంతి)పై వ్యాఖ్యలు చేస్తూ ముఖ్యముంది పాపంపాలనా\nకార్యాలయం మరియు నివాహన్ని గ్రనైడ్స్ పెట్టి పేల్",Delay in issuing caste certificate,Tahsildar/MRO,2025-10-14,7,Senior Assistant (Revenue),Village Revenue Officer (VRO),Registered,2025-10-07 19:25:40,Unknown,Unknown
AP-2025-204777,People,,,"Turkapalli, next to Gaddamigi Venkatesham's house","The 'Hand boring' which has been encroached upon due to personal reasons. Its pump area. The villagers used to drink this Boring water because it was good. Now, due to some personal reasons, the Boring and the land related to it have been encroached upon. And Next to it, Gaddamidi Venkatesham, related to the house 'Drainage system has been set up. Please fix it and remove the drainage next to it.",Pipeline leak/irregular water supply,General Administrator,2025-10-14,7,,,Registered,2025-10-07 19:49:11,next to Gaddamigi Venkatesham's house,Unknown
AP-2025-205333,Vitthal Donde,,,Hyderabad,"Requesting legal action against Sri Revanth Reddy, MP, for his comments during yesterday's Padayatra (foot march). Yesterday, during the Padayatra, Sri Revanth Reddy, Member of Parliament, made comments against the state government and the Chief Minister, saying that the Chief Minister's office and residence should be blown up with grenades. As a member of the legislature, calling for the demolition of government buildings is definitely considered an illegal act. Therefore, we request you to exa",Delay in issuing caste certificate,Tahsildar/MRO,2025-10-14,7,Senior Assistant (Revenue),Village Revenue Officer (VRO),Registered,2025-10-07 20:03:05,Unknown,Unknown
AP-2025-271252,Rajamma,,,"Grama Panchayat, Errupalem, Khammam","In our village, drinking water supply has not been proper for the past few days. Water is coming only once in three to four days. Many houses are not getting enough water. Especially the elderly, children, and women are suffering a lot. Additionally, in some areas, water pipes are leaking, which is wasting water. Regarding this, I request the Panchayat to take action and ensure that water is supplied equally throughout the village. I hope that this problem will be resolved quickly and that steps",Pipeline leak/irregular water supply,General Administrator,2025-10-14,7,,,Registered,2025-10-07 20:27:42,Khammam,Errupalem
AP-2025-513786,People,,,Burrapalli village,"The 'Hand boring' next to Venkatesham's house on the bank in our village, Burrapalli, has not been working for the past 2 years. Since the water from this boring, which was installed 10 years ago, is not coming, people are unable to drink. Such a boring has now been removed, and a public boring and its related flooring have also been laid. And next to it, on the grassy area, a 'Drainage system' has been set up. Therefore, it is the request of the village/ward people to please arrange for a water",Pipeline leak/irregular water supply,General Administrator,2025-10-15,7,,,Registered,2025-10-08 11:40:48,Unknown,Unknown
AP-2025-344679,Raju,,,Village: Errupalem,"For the past few days, the drinking water supply in our village has not been proper. Water is being supplied only once every three to four days. Many houses are not receiving the water supply. Especially the elderly, children, and women are facing a lot of difficulties. Additionally, in some areas, the water pipes are leaking, which is causing water wastage. We request that the Panchayat take action on this and ensure that a proper water supply is maintained in the village. We hope that you will",Pipeline leak/irregular water supply,General Administrator,2025-10-15,7,,,Registered,2025-10-08 11:42:30,Unknown,Unknown
AP-2025-673446,Rajamma,,,,"```
To:
Sarpanch Garu,
Grama Panchayat,
Errupalem
Khammam

Date: 21/2/2021

Subject: Complaint regarding drinking water supply failures in the village.

Respected Sir/Madam,

In our village, for the past few days, the drinking water supply has not been happening properly. Water is coming only once every three to four days. Many houses are not getting enough water. Especially the elderly, children, and women are facing a lot of difficulties.
Additionally, in some areas, water pipes are leaking, d",Pipeline leak/irregular water supply,General Administrator,2025-10-15,7,,,Registered,2025-10-08 12:23:04,Unknown,Unknown
AP-2025-809086,Rajamma,987909765.0,,"Errupalem, Khammam","For the past few days, the drinking water supply in our village has not been proper. The water is being supplied only once in three to four days. Many houses are not receiving sufficient water. Especially the elderly, children, and women are facing a lot of difficulties. Furthermore, in some areas, the water pipes are leaking, which is causing water wastage. We request you to take action on this in the Panchayat and ensure that water is supplied equally throughout the village. We hope that you w",Pipeline leak/irregular water supply,General Administrator,2025-10-15,7,,,Registered,2025-10-08 13:10:34,Khammam,Unknown
AP-2025-512985,Venkataramana,878980989.0,,"Venkatapuram Village, Chennuru Mandal, Mancherial District","The main road in our Venkatapuram village is in a very pathetic condition. During the rainy season, potholes have formed, and a lot of mud has accumulated. Due to this, it is becoming difficult to drive vehicles. Especially students, the elderly, pregnant women, and employees are facing severe difficulties in traveling. We request you to please take note of this problem and get the village road repaired immediately. If the road is in good condition, it will be possible for the village people to ",Village road/drain repair needed,General Administrator,2025-11-07,30,,,Registered,2025-10-08 13:14:10,Mancherial District,Chennuru Mandal
AP-2025-614645,Rajamma,987909765.0,,"Errupalem, Khammam","For the past few days, the drinking water supply in our village has not been proper. The water is being supplied only once in three or four days. Many houses are not getting enough water. Especially the elderly, children, and women are facing a lot of difficulties. Additionally, in some areas, the water pipes are leaking, which is causing water wastage. We request you to take action on this in the Panchayat and ensure that water is supplied equally throughout the village. We hope that you will r",Pipeline leak/irregular water supply,General Administrator,2025-10-15,7,,,Registered,2025-10-08 13:22:51,Khammam,Unknown
AP-2025-884132,Rajamma,984909765.0,,"Errupalem, Khammam","For the past few days in our village, the drinking water supply has not been proper. The water is coming only once in three or four days. Many houses are not getting enough water. Especially the elderly, children, and women are facing a lot of difficulties. Moreover, in some areas, the water pipes are leaking, which is causing water wastage. We request you to take action on this in the Panchayat and ensure that water is supplied equally throughout the village. We hope that you will resolve this ",Pipeline leak/irregular water supply,General Administrator,2025-10-15,7,,,Registered,2025-10-08 16:26:32,Khammam,Unknown
AP-2025-226337,Rajamma,,,"Errupalem, Khammam",ABC,Delay in issuing caste certificate,Tahsildar/MRO,2025-10-15,7,Senior Assistant (Revenue),Village Revenue Officer (VRO),Registered,2025-10-08 16:28:17,Khammam,Unknown
AP-2025-314270,Alok,8097720187.0,,,The street light is not working in my area.,Streetlights not working,Panchayat Secretary,2025-10-15,7,Assistant Engineer (PR),Municipal AE (Electrical),Registered,2025-10-08 17:54:59,Unknown,Unknown
AP-2025-164697,Alok,8097720187.0,,,My street light is not working.,Streetlights not working,Panchayat Secretary,2025-10-15,7,Assistant Engineer (PR),Municipal AE (Electrical),Registered,2025-10-08 18:13:58,Unknown,Unknown
AP-2025-260437,Rajamma,987909765.0,,"Errupalem, Khammam","For the past few days, the drinking water supply in our village has not been proper. Water is being supplied only once in three to four days. Many houses are not receiving sufficient water. Especially the elderly, children, and women are facing a lot of difficulties. Furthermore, in some areas, the water pipes are leaking, which is causing water wastage. We request you to discuss this in the Panchayat and ensure that water is supplied equally throughout the village. We hope that you will resolve",Pipeline leak/irregular water supply,General Administrator,2025-10-23,15,,,Registered,2025-10-08 21:20:40,Khammam,Unknown
AP-2025-927309,Venkataramana Konda,9879097656.0,,"Aryanagar Street, Errupalem village, Khammam Mandal","the drinking water has not been coming to our street for the past fifteen days. Because of this, we are all facing a lot of trouble. Please, we hope that you will immediately resolve our water problem. Thank you.",Pipeline leak/irregular water supply,Assistant Engineer (RWSS),2025-10-24,15,Junior Engineer (RWSS),Panchayat Secretary,Registered,2025-10-09 07:55:25,Khammam,Errupalem village
AP-2025-470509,Surender Babu,8986789854.0,,"Vinaynagarwada, Anakapalli village, Chittoor mandal","for the past fifteen days, the street lights in our street have not been working. Therefore, it is very dark in the evenings. Especially women, children, and the elderly are very afraid to walk. The menace of dogs is also high. Please I hope you will solve the problem of street lights. Thank you.",Streetlights not working,Panchayat Secretary,2025-10-16,7,Assistant Engineer (PR),Municipal AE (Electrical),Registered,2025-10-09 07:57:10,Chittoor mandal,Anakapalli village
AP-2025-246485,Rajamma,987909765.0,,"Errupalem, Khammam","For the past few days in our village, the drinking water supply has not been proper. Water is being supplied only once in three to four days. Many houses are not getting enough water. Especially the elderly, children, and women are facing a lot of difficulties. Moreover, in some areas, the water pipes are leaking, which is causing water wastage. We request you to discuss this in the Panchayat and ensure that water is supplied equally throughout the village. We hope that you will resolve this iss",Pipeline leak/irregular water supply,Assistant Engineer (RWSS),2025-10-24,15,Junior Engineer (RWSS),Panchayat Secretary,Registered,2025-10-09 07:58:11,Khammam,Unknown
AP-2025-638369,Venkataramana Konda,9879097656.0,,"Aryanagar Street, Errupalem village, Khammam Mandal","the drinking water has not been coming to our street for the past fifteen days. Because of this, we are all facing a lot of trouble. Please, we hope that you will immediately resolve our water problem. Thank you.",Pipeline leak/irregular water supply,Assistant Engineer (RWSS),2025-10-24,15,Junior Engineer (RWSS),Panchayat Secretary,Registered,2025-10-09 10:08:05,Khammam,Errupalem village
AP-2025-300695,Rajamma,987909765.0,,Errupalem,"For the past few days in our village, the drinking water supply has not been proper. Water is being supplied only once every three to four days. Many houses are not receiving sufficient water. Especially, the elderly, children, and women are facing a lot of problems. Furthermore, in some areas, the water pipes are leaking, which is causing water wastage. We request you to discuss this matter in the Panchayat and take measures to ensure an equal supply of water throughout the village. We hope tha",Pipeline leak/irregular water supply,Assistant Engineer (RWSS),2025-10-24,15,Junior Engineer (RWSS),Panchayat Secretary,Registered,2025-10-09 10:54:14,Unknown,Unknown
AP-2025-850650,Venkataramana Konda,9879097656.0,,"Aryanagar Street, Errupalem village, Khammam Mandal","the drinking water has not been coming to our street for the past fifteen days. Because of this, we are all facing a lot of trouble. Please, we hope that you will immediately resolve our water problem. Thank you.",Pipeline leak/irregular water supply,Assistant Engineer (RWSS),2025-10-24,15,Junior Engineer (RWSS),Panchayat Secretary,Registered,2025-10-09 10:56:04,Khammam,Errupalem village
AP-2025-743443,Rajamma,984909765.0,,"Errupalem, Khammam","For the past few days, the drinking water supply in our village has not been proper. Water is being supplied only once in three to four days. Many houses are not receiving adequate water. Especially the elderly, children, and women are facing a lot of difficulties. Additionally, in some areas, the water pipes are leaking, which is causing water wastage.",Pipeline leak/irregular water supply,Assistant Engineer (RWSS),2025-10-24,15,Junior Engineer (RWSS),Panchayat Secretary,Registered,2025-10-09 11:07:28,Khammam,Unknown
AP-2025-100516,Venkataramana,878980989.0,,"Venkatapuram Village, Chinnuru Mandal, Mancherial District","The main road in our Venkatapuram village is in a very pathetic condition. During the rainy season, potholes have formed, and a lot of mud has accumulated. Because of this, it is becoming difficult to drive vehicles. Especially students, elderly people, pregnant women, and employees are facing severe difficulties in traveling.",Village road/drain repair needed,Panchayat Secretary,2025-11-08,30,Assistant Engineer (PR),Municipal AE (Electrical),Registered,2025-10-09 11:13:28,Mancherial District,Chinnuru Mandal
AP-2025-540880,Rajayya,8978987878.0,,Vemavaram village,"the ration shop is giving less goods and sometimes charges high prices. Because of this, the villagers are facing a lot of difficulties. I humbly request you to please examine this matter and take appropriate action. Thank you.",Ration shop short supply/overpricing,Civil Supplies Inspector,2025-10-24,15,Assistant Supply Officer,,Registered,2025-10-09 11:34:58,Unknown,Unknown
AP-2025-481177,Rajama,8986789854.0,,,నేను సురేందర్ బాబు నా మొబైల్ నెంబర్ 8986789854 వినాయక నగర్ వాడ అనకాపల్లి గ్రామం చిత్తూరు మండలం అయ్యా గత 15 రోజులుగా మా వీధిలో వీధి దీపాలు వెలుగుతలేవు అందువల్ల సాయంత్రం పూట చాలా చీకటిగా ఉంటుంది ముఖ్యంగా స్త్రీలు పిల్లలు వృద్ధులు నడవాలంటే చాలా భయపడుతున్నారు కుక్కల బెడద కూడా ఎక్కువ ఉన్నది దయచేసి మీరు మా వీధి దీపాల సమస్యను పరిష్కరిస్తారని ఆశిస్తున్నాను ధన్యవాదములు,Streetlights not working,Panchayat Secretary,2025-10-16,7,Assistant Engineer (PR),Municipal AE (Electrical),Registered,2025-10-09 11:38:04,Unknown,Unknown
